"council","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long"
"Alpine","2008","3","2","3","3","0","1","2","0","2","53.333333333","2.500000000","-36.70558696472041","147.0245723672768"
"Alpine","2008","4","6","8","10","2","2","7","0","8","40.300000000","2.500000000","-36.75522941300651","146.962089825461"
"Alpine","2008","5","6","6","7","0","2","5","0","7","47.571428571","2.833333333","-36.62830636909773","146.86701181382537"
"Alpine","2008","6","2","2","5","0","1","4","0","3","30.000000000","3.000000000","-36.83644842411141","146.88845777929484"
"Alpine","2008","7","2","2","2","0","1","1","0","2","25.500000000","2.500000000","-36.80755816907066","146.7885245722941"
"Alpine","2008","8","5","6","6","0","1","5","0","5","33.500000000","2.600000000","-36.732788846726734","147.0248690127864"
"Alpine","2008","9","1","1","1","0","0","1","0","1","27.000000000","2.000000000","-36.52691921133381","146.68545511943935"
"Alpine","2008","10","3","3","3","0","0","3","0","3","43.333333333","2.000000000","-36.739791239106246","146.87257190808398"
"Alpine","2008","11","4","4","4","0","0","4","0","4","39.250000000","2.500000000","-36.87487119418723","146.95018018793388"
"Alpine","2008","12","6","9","10","2","3","7","0","8","48.700000000","2.666666666","-36.705352536083446","146.9309479646283"
"Alpine","2009","1","4","4","4","0","0","4","0","4","48.750000000","2.500000000","-36.824962111044144","147.10447330457887"
"Alpine","2009","2","3","3","7","0","2","5","0","4","34.428571428","2.000000000","-36.6883263932187","146.9255556817715"
"Alpine","2009","3","4","4","5","0","3","2","0","4","39.400000000","2.500000000","-36.723514579947576","146.9122086060322"
"Alpine","2009","4","5","7","21","0","12","8","0","15","26.200000000","2.200000000","-36.703096991877466","146.83477372441365"
"Alpine","2009","5","5","7","14","0","2","12","0","6","30.428571428","2.800000000","-36.683832433881406","146.8388656245958"
"Alpine","2009","6","7","9","13","0","6","6","1","8","29.500000000","2.142857142","-36.694770793730335","146.90372762047315"
"Alpine","2009","7","6","8","18","0","4","13","1","11","33.000000000","2.333333333","-36.63079627977145","146.95366039855307"
"Alpine","2009","8","4","6","60","1","20","38","1","4","20.316666666","2.250000000","-36.884635108917365","146.99011714699324"
"Alpine","2009","9","2","5","4","0","0","4","0","4","31.500000000","2.500000000","-36.65877765848131","146.85781283013387"
"Alpine","2009","10","6","7","8","1","5","3","0","6","51.000000000","2.666666666","-36.651723533176785","146.9231921558534"
"Alpine","2009","11","7","9","13","1","5","8","0","10","40.000000000","2.428571428","-36.680685703788626","146.93148769304057"
"Alpine","2009","12","15","21","29","2","9","19","1","19","43.321428571","2.200000000","-36.72625329927155","147.00184219916963"
"Alpine","2010","1","3","5","12","0","3","9","0","6","29.916666666","2.666666666","-36.726529738707534","147.03269794084648"
"Alpine","2010","2","4","5","10","0","6","3","0","9","46.777777777","2.750000000","-36.652423376952086","146.94962223048918"
"Alpine","2010","3","8","10","14","1","3","11","1","7","36.714285714","2.125000000","-36.742525089773075","147.00383887957497"
"Alpine","2010","4","9","11","13","0","2","10","0","10","42.153846153","2.444444444","-36.77881561026776","146.9889451398585"
"Alpine","2010","5","3","4","8","1","2","6","1","6","31.000000000","2.000000000","-36.75620874788326","147.1169408256114"
"Alpine","2010","6","2","4","5","0","3","2","0","2","25.000000000","3.000000000","-36.62524437080219","146.9331441258357"
"Alpine","2010","7","6","9","12","0","5","7","0","6","45.000000000","2.500000000","-36.683260158775745","146.88956217947572"
"Alpine","2010","8","2","4","5","1","2","3","0","3","59.600000000","2.000000000","-36.61618363349286","146.93331008672507"
"Alpine","2010","9","2","4","9","1","3","5","0","4","44.000000000","2.500000000","-36.55692131084578","146.72488880641305"
"Alpine","2010","10","2","2","2","0","0","2","0","2","33.000000000","2.500000000","-36.84958547222661","147.03335658014134"
"Alpine","2010","11","11","17","22","1","5","16","0","18","50.500000000","2.545454545","-36.63628886029032","146.909130751819"
"Alpine","2010","12","4","4","4","0","0","4","0","4","47.000000000","2.500000000","-36.71745221837491","146.9677280169821"
"Alpine","2011","1","4","6","6","0","0","6","0","4","38.166666666","2.750000000","-36.869860511605296","147.10370190027652"
"Alpine","2011","2","4","5","5","0","3","2","1","4","52.400000000","2.500000000","-36.64007598797364","146.92838227051683"
"Alpine","2011","3","5","6","6","0","0","6","0","6","43.500000000","2.200000000","-36.78150807528935","147.00985136804994"
"Alpine","2011","4","5","6","8","1","4","4","0","7","41.250000000","2.600000000","-36.6968361962155","146.86420337258372"
"Alpine","2011","5","6","7","9","0","4","5","1","6","46.888888888","2.666666666","-36.642887830549164","146.9711963325997"
"Alpine","2011","6","3","4","5","1","2","3","0","3","28.600000000","2.666666666","-36.8116724672688","146.9785546141366"
"Alpine","2011","7","2","2","5","0","1","4","0","2","42.400000000","2.000000000","-36.813781445126565","147.0187744024401"
"Alpine","2011","8","1","1","1","0","0","1","0","1","35.000000000","2.000000000","-36.795187907486856","147.2151845478318"
"Alpine","2011","9","1","1","2","0","0","1","0","1","73.000000000","3.000000000","-36.7292461878064","146.95409964395745"
"Alpine","2011","10","6","7","8","0","2","6","0","6","53.375000000","2.666666666","-36.703470966051405","146.9047100545355"
"Alpine","2011","11","6","6","6","0","1","5","0","6","46.833333333","2.500000000","-36.79653108057338","146.9545701528867"
"Alpine","2011","12","4","6","14","0","5","9","0","4","32.785714285","2.750000000","-36.68646195651764","146.95142688864595"
"Alpine","2012","1","8","11","11","0","0","11","0","9","51.909090909","2.500000000","-36.69878242404534","146.96939798326162"
"Alpine","2012","2","6","7","7","0","2","4","0","6","34.571428571","2.166666666","-36.68544197219143","147.0663749048357"
"Alpine","2012","3","5","7","8","0","0","8","0","5","43.375000000","2.800000000","-36.69424959117802","146.9776533312015"
"Alpine","2012","4","10","12","13","0","2","9","0","10","35.166666666","2.300000000","-36.856528494338924","146.92231370289693"
"Alpine","2012","5","4","5","12","0","4","8","0","6","22.833333333","2.500000000","-36.624442056287286","146.86950959592417"
"Alpine","2012","6","1","1","1","0","0","1","0","1","49.000000000","3.000000000","-36.90152493571841","146.86270275535458"
"Alpine","2012","7","1","1","3","0","0","1","0","1","50.000000000","3.000000000","-36.7410623876631","147.17289693138622"
"Alpine","2012","8","2","3","4","0","1","2","0","3","53.666666666","2.000000000","-36.57932796779325","146.90858911712922"
"Alpine","2012","9","2","3","3","0","0","3","0","2","29.333333333","3.000000000","-36.51816361317103","146.93069030896538"
"Alpine","2012","10","7","8","9","0","2","7","0","7","38.222222222","2.857142857","-36.64886940370344","146.93906286368534"
"Alpine","2012","11","5","8","10","0","2","8","0","5","42.400000000","2.600000000","-36.66208468383523","146.96581006234777"
"Alpine","2012","12","7","11","15","1","7","8","0","7","42.600000000","2.714285714","-36.710298679679674","146.97491851530873"
"Alpine","2013","1","8","10","12","3","1","10","0","10","38.833333333","2.750000000","-36.65789446615953","146.9459931778766"
"Alpine","2013","2","4","4","4","1","1","3","0","4","55.250000000","3.000000000","-36.79354837753024","147.0026584223628"
"Alpine","2013","3","5","6","8","0","1","6","1","4","42.714285714","2.000000000","-36.752158517429635","146.98099303099687"
"Alpine","2013","4","8","10","12","1","4","8","1","9","39.083333333","2.500000000","-36.712052847527275","146.88155240053888"
"Alpine","2013","5","3","3","4","0","1","3","0","4","49.750000000","2.333333333","-36.84646944711699","146.84124219228696"
"Alpine","2013","6","5","7","8","1","1","7","0","6","30.500000000","3.000000000","-36.592225463054554","146.94097501338018"
"Ararat","2006","1","2","3","4","0","3","1","0","3","37.000000000","3.000000000","-37.44235572325586","142.8065087509317"
"Ararat","2006","3","2","5","3","0","2","1","0","2","41.333333333","2.500000000","-37.320760479362455","142.93394832746935"
"Ararat","2006","4","2","2","2","0","1","1","0","2","25.000000000","2.500000000","-37.48660155127381","142.93257687551625"
"Ararat","2006","5","3","4","4","1","2","2","0","3","34.250000000","2.666666666","-37.45576903338803","142.85563066410592"
"Ararat","2006","6","4","4","4","0","0","4","0","4","35.500000000","2.250000000","-37.26090011224919","143.1881906947993"
"Ararat","2006","7","3","4","5","0","0","3","1","2","28.500000000","2.000000000","-37.28631040926545","142.87856041903854"
"Ararat","2006","9","2","2","2","0","1","1","0","2","46.500000000","2.500000000","-37.31470795976374","143.03329342128822"
"Ararat","2006","10","5","7","7","0","3","3","0","5","40.714285714","2.200000000","-37.50334535591205","142.86900981691625"
"Ararat","2006","11","2","2","2","0","0","2","0","2","41.000000000","3.000000000","-37.279322682449006","142.93713739728642"
"Ararat","2006","12","2","3","7","0","2","5","0","3","32.000000000","2.000000000","-37.38599547715151","142.70682278042307"
"Ararat","2007","1","4","5","13","0","5","8","0","5","51.923076923","2.500000000","-37.42612948334375","143.10020538052146"
"Ararat","2007","3","2","2","4","0","0","1","0","2","10.500000000","2.000000000","-37.28300521126992","142.92474670598435"
"Ararat","2007","4","4","8","12","0","5","6","0","8","39.000000000","2.500000000","-37.28334123171555","142.92910838903612"
"Ararat","2007","5","1","1","2","0","1","0","0","1","52.000000000","2.000000000","-37.28447808539431","142.92799320081158"
"Ararat","2007","6","2","4","5","0","4","1","0","2","57.400000000","2.500000000","-37.28937891592791","142.8670721213973"
"Ararat","2007","7","1","1","2","0","1","1","0","1","69.000000000","2.000000000","-37.66537574348695","142.65608503379949"
"Ararat","2007","8","4","5","8","0","1","7","0","4","26.625000000","2.500000000","-37.25929565940771","142.8010691010614"
"Ararat","2007","9","2","2","3","0","0","2","0","2","52.500000000","2.500000000","-37.30429518383697","143.01916260505766"
"Ararat","2007","11","3","3","3","0","0","3","0","3","30.000000000","2.000000000","-37.267749882339764","142.78487575694686"
"Ararat","2007","12","4","4","4","0","3","1","0","4","49.750000000","2.250000000","-37.40393172200035","142.93725934303436"
"Ararat","2008","1","2","2","3","0","1","2","0","2","27.000000000","3.000000000","-37.26909627763482","142.94503134071138"
"Ararat","2008","2","2","3","4","0","1","2","0","2","31.000000000","2.500000000","-37.5025157281931","142.88888236141116"
"Ararat","2008","3","5","7","11","0","4","7","0","10","32.909090909","2.400000000","-37.39989031386629","142.77275232028018"
"Ararat","2008","4","1","3","10","0","3","4","0","9","25.100000000","2.000000000","-37.3788878172662","143.21698349398463"
"Ararat","2008","5","2","4","5","1","3","2","0","2","27.400000000","2.500000000","-37.280138739747244","142.9346343697765"
"Ararat","2008","6","2","4","4","0","1","3","0","4","44.250000000","2.000000000","-37.64594122099312","142.66934245038755"
"Ararat","2008","7","1","1","1","0","0","1","0","1","41.000000000","2.000000000","-37.38057648809132","142.8760813134605"
"Ararat","2008","8","2","3","6","0","3","3","1","3","28.000000000","1.500000000","-37.38844255089812","142.93150377251737"
"Ararat","2008","9","5","8","11","0","5","6","0","5","46.545454545","2.600000000","-37.34276299096264","142.87291484067492"
"Ararat","2008","10","2","4","7","0","4","3","0","6","37.571428571","2.500000000","-37.53120882971308","142.96509365721602"
"Ararat","2008","11","2","4","7","0","3","4","0","3","47.000000000","2.000000000","-37.37849902382006","142.98915310279742"
"Ararat","2008","12","3","6","10","0","2","8","0","4","29.800000000","2.333333333","-37.26287906239926","142.92247396655387"
"Ararat","2009","1","4","5","7","0","2","5","0","4","43.142857142","2.000000000","-37.46726072772206","142.8675177984337"
"Ararat","2009","2","3","3","3","1","3","0","0","3","25.000000000","2.000000000","-37.2478015114499","142.8865065311265"
"Ararat","2009","3","2","3","4","0","2","2","0","2","34.000000000","2.500000000","-37.34437040477479","143.06040780405473"
"Ararat","2009","4","3","3","3","0","0","3","0","3","39.333333333","2.333333333","-37.41978665910739","142.90894184474354"
"Ararat","2009","5","2","2","4","0","0","4","0","2","27.500000000","3.000000000","-37.24975259438927","142.9714474863461"
"Ararat","2009","6","1","3","6","0","2","4","0","2","21.833333333","3.000000000","-37.28440382093504","142.93673425965625"
"Ararat","2009","7","1","2","1","0","1","0","0","1","85.000000000","2.000000000","-37.27873841015041","142.9193917485189"
"Ararat","2009","8","2","3","3","0","1","2","0","2","55.000000000","2.500000000","-37.46732199778328","142.85640045798618"
"Ararat","2009","9","3","7","8","0","5","3","0","4","52.500000000","2.333333333","-37.38410039560103","142.94072375020397"
"Ararat","2009","10","2","3","7","0","5","2","0","3","17.285714285","2.500000000","-37.28673200150374","142.95329105661904"
"Ararat","2009","11","3","3","3","0","1","2","0","3","43.333333333","2.333333333","-37.41707730225756","143.022454902562"
"Ararat","2009","12","2","3","2","0","1","1","0","2","46.500000000","2.000000000","-37.329319805240914","143.06384942021083"
"Ararat","2010","1","6","10","19","0","12","6","0","14","36.388888888","2.166666666","-37.323363043864724","142.75085532973273"
"Ararat","2010","2","1","1","1","0","0","1","0","1","52.000000000","2.000000000","-37.540720139013686","142.73529907514265"
"Ararat","2010","3","6","6","11","0","5","4","0","6","24.888888888","2.500000000","-37.369268837920025","142.9527185597697"
"Ararat","2010","4","2","3","7","0","4","3","1","5","33.714285714","1.500000000","-37.59701342191569","143.0013483990175"
"Ararat","2010","5","3","3","3","0","1","2","0","3","32.666666666","2.666666666","-37.39719398567195","142.78596432629544"
"Ararat","2010","6","4","6","6","0","2","4","1","3","34.000000000","2.000000000","-37.24712254592","142.93813402491693"
"Ararat","2010","7","3","3","6","0","0","6","1","5","31.666666666","2.000000000","-37.53666492977975","142.77522971104386"
"Ararat","2010","8","4","5","8","0","6","2","0","6","50.875000000","2.750000000","-37.24899138920287","143.0991714865423"
"Ararat","2010","9","1","2","3","0","1","2","0","1","35.333333333","3.000000000","-37.32815202386801","143.07985096579912"
"Ararat","2010","10","2","3","3","0","0","3","0","3","40.333333333","3.000000000","-37.23505244880491","142.90292882579843"
"Ararat","2010","11","2","3","4","0","2","2","0","3","39.750000000","2.500000000","-37.283286965532966","142.90348991694054"
"Ararat","2010","12","3","4","6","0","3","3","0","6","52.333333333","2.000000000","-37.40558450865968","142.7782252254124"
"Ararat","2011","1","3","5","6","0","1","5","0","3","48.500000000","2.000000000","-37.35865730627102","142.97253082979276"
"Ararat","2011","2","1","1","1","0","0","1","0","1","18.000000000","3.000000000","-37.23766594215415","142.69506698450064"
"Ararat","2011","4","3","4","4","0","1","3","0","3","51.750000000","2.666666666","-37.29551361736665","143.07045300954954"
"Ararat","2011","5","3","5","9","0","5","4","0","6","28.888888888","2.666666666","-37.29068030626592","142.9304407500073"
"Ararat","2011","6","2","4","6","0","1","5","0","2","35.000000000","2.000000000","-37.49885769813859","142.8496328619777"
"Ararat","2011","7","2","6","10","0","5","4","0","3","36.111111111","2.500000000","-37.28321708726526","142.93169865946965"
"Ararat","2011","9","4","5","6","0","2","3","0","4","42.800000000","2.750000000","-37.29541708693799","143.0487126757909"
"Ararat","2011","10","2","2","5","0","3","2","0","2","27.000000000","3.000000000","-37.238740116420466","142.78032786424873"
"Ararat","2011","11","1","2","2","0","2","0","0","1","57.000000000","2.000000000","-37.28533037603636","142.93391008284738"
"Ararat","2011","12","3","4","5","0","3","2","0","3","40.400000000","2.333333333","-37.29505038867766","142.97467490413146"
"Ararat","2012","1","2","3","4","0","3","1","0","3","25.750000000","3.000000000","-37.28516622649718","142.91615687095893"
"Ararat","2012","2","4","5","5","0","2","3","1","3","38.000000000","2.250000000","-37.412441674107136","142.82127132238872"
"Ararat","2012","3","3","3","6","0","2","2","0","4","34.750000000","2.333333333","-37.30587349037396","143.00679213515613"
"Ararat","2012","4","2","3","5","0","0","5","0","4","29.000000000","2.500000000","-37.32390573114284","143.22687207600387"
"Ararat","2012","5","1","1","1","0","0","1","0","1","40.000000000","3.000000000","-37.447422495827354","142.4497725839803"
"Ararat","2012","6","1","3","3","0","2","1","0","1","40.000000000","3.000000000","-37.2736857742459","142.9225950092834"
"Ararat","2012","7","3","3","3","0","0","3","2","1","58.000000000","1.333333333","-37.45447145595072","142.89112300956086"
"Ararat","2012","8","5","10","19","1","7","12","0","6","40.157894736","2.800000000","-37.36893649299938","143.0551141154946"
"Ararat","2012","9","3","6","15","0","1","5","1","4","43.833333333","2.000000000","-37.41743858444523","142.79058089530574"
"Ararat","2012","10","2","3","3","1","1","2","0","2","19.333333333","2.500000000","-37.52449648679833","142.94602870805969"
"Ararat","2012","12","3","4","4","0","1","3","0","4","42.500000000","2.333333333","-37.35209001814578","142.86968958030408"
"Ararat","2013","1","2","2","5","0","2","3","0","5","22.200000000","2.000000000","-37.620356504363286","142.7855375753623"
"Ararat","2013","2","1","2","3","1","1","2","0","1","29.666666666","3.000000000","-37.283477769230586","142.9281079042296"
"Ararat","2013","3","3","4","7","0","5","2","0","4","34.000000000","2.666666666","-37.47361071780742","143.04396948335872"
"Ararat","2013","4","2","3","3","0","1","1","0","2","26.666666666","2.500000000","-37.49938202958708","142.92569692799313"
"Ararat","2013","6","1","1","2","0","1","0","0","1","40.000000000","3.000000000","-37.28383828397351","142.93040762023526"
"Ballarat","2006","1","12","25","32","3","15","16","0","17","32.718750000","2.833333333","-37.55489218876161","143.84911994935564"
"Ballarat","2006","2","29","52","95","1","38","50","2","46","27.098901098","2.448275862","-37.55752888178502","143.83766804588646"
"Ballarat","2006","3","20","34","45","4","19","26","1","28","36.066666666","2.400000000","-37.565091218206376","143.85181741981754"
"Ballarat","2006","4","21","43","68","1","29","35","0","40","27.104477611","2.666666666","-37.56358288797702","143.84086571645744"
"Ballarat","2006","5","23","36","64","1","24","32","0","34","28.576271186","2.695652173","-37.55347704638182","143.84519960442086"
"Ballarat","2006","6","18","30","44","2","16","25","1","26","30.547619047","2.555555555","-37.546313764425705","143.83477871875505"
"Ballarat","2006","7","15","25","34","1","16","15","0","22","30.757575757","2.866666666","-37.5694216114808","143.85413908478805"
"Ballarat","2006","8","12","22","28","0","9","17","0","14","33.740740740","2.583333333","-37.54758468962042","143.8468001770251"
"Ballarat","2006","9","21","38","70","2","26","38","1","36","27.731343283","2.666666666","-37.57250053838606","143.8543515666425"
"Ballarat","2006","10","24","44","57","4","26","27","0","26","30.614035087","2.625000000","-37.53957011226336","143.82223567717523"
"Ballarat","2006","11","18","30","52","1","29","19","2","37","31.791666666","2.277777777","-37.57046492711012","143.84629033423354"
"Ballarat","2006","12","18","32","47","2","21","19","0","23","34.066666666","2.555555555","-37.56874035668281","143.8513374640432"
"Ballarat","2007","1","19","35","53","2","21","28","0","25","32.120000000","2.578947368","-37.553593579951986","143.83653457985025"
"Ballarat","2007","2","21","39","53","4","25","25","0","29","35.471698113","2.476190476","-37.56422768188776","143.83958091658872"
"Ballarat","2007","3","22","42","57","2","22","32","0","36","34.254545454","2.500000000","-37.557615612706606","143.84404345897659"
"Ballarat","2007","4","24","46","78","1","32","42","0","36","27.311688311","2.500000000","-37.560925933905146","143.8655772279761"
"Ballarat","2007","5","17","33","56","1","24","31","0","29","31.327272727","2.588235294","-37.56592353065572","143.83985932769315"
"Ballarat","2007","6","22","38","62","1","27","31","1","34","34.254237288","2.454545454","-37.563329499639366","143.84647899810784"
"Ballarat","2007","7","25","41","60","2","25","31","0","41","33.389830508","2.600000000","-37.56832785873751","143.84253966722198"
"Ballarat","2007","8","23","43","53","1","26","26","0","28","35.867924528","2.347826086","-37.548348929642","143.8511413894774"
"Ballarat","2007","9","27","50","82","1","38","38","0","42","33.602564102","2.407407407","-37.55923969676491","143.83892067694362"
"Ballarat","2007","10","19","27","41","0","15","25","0","24","30.550000000","2.473684210","-37.55784976488611","143.84254610244736"
"Ballarat","2007","11","15","25","38","1","16","19","0","20","29.027777777","2.533333333","-37.55813458976506","143.8368056967079"
"Ballarat","2007","12","15","26","38","0","16","19","0","21","37.114285714","2.400000000","-37.55738735787106","143.8503865765854"
"Ballarat","2008","1","18","31","35","2","10","21","0","20","31.696969696","2.777777777","-37.56031935805357","143.83856233008166"
"Ballarat","2008","2","31","49","69","2","30","32","1","37","31.000000000","2.645161290","-37.557700791989845","143.84635043822232"
"Ballarat","2008","3","18","34","52","3","25","26","0","29","40.058823529","2.722222222","-37.559507993403344","143.85080494197103"
"Ballarat","2008","4","15","26","31","0","12","17","2","17","34.533333333","2.533333333","-37.586143105933935","143.85971549540528"
"Ballarat","2008","5","20","35","54","2","24","27","1","28","29.188679245","2.650000000","-37.56066642879378","143.84099574163798"
"Ballarat","2008","6","20","32","43","1","16","22","1","25","44.725000000","2.600000000","-37.55634844250501","143.82859136579532"
"Ballarat","2008","7","21","35","49","0","26","19","0","30","35.369565217","2.619047619","-37.56233578597636","143.84368853737587"
"Ballarat","2008","8","25","43","56","0","26","28","0","36","30.454545454","2.680000000","-37.56227236312225","143.85055667997707"
"Ballarat","2008","9","22","33","59","0","19","31","0","32","29.830188679","2.590909090","-37.559383728999975","143.845705025811"
"Ballarat","2008","10","20","36","55","1","19","34","0","29","31.259259259","2.500000000","-37.558161438051364","143.84310211313218"
"Ballarat","2008","11","25","50","78","1","33","39","0","39","34.592105263","2.480000000","-37.54779782749372","143.8271879247626"
"Ballarat","2008","12","17","30","56","1","23","32","1","22","27.181818181","2.235294117","-37.55678036818336","143.83862694527068"
"Ballarat","2009","1","12","24","32","6","12","18","0","19","29.419354838","2.583333333","-37.57768748123657","143.85199635080824"
"Ballarat","2009","2","21","41","65","0","30","32","1","30","29.296875000","2.571428571","-37.571008324350224","143.84687276769023"
"Ballarat","2009","3","28","52","71","4","26","39","0","42","36.058823529","2.714285714","-37.564293618715865","143.84614365320252"
"Ballarat","2009","4","17","26","36","1","19","14","0","22","33.352941176","2.647058823","-37.55656311572288","143.85166089818597"
"Ballarat","2009","5","22","42","53","1","28","23","1","27","38.269230769","2.727272727","-37.57107854532587","143.84866471825032"
"Ballarat","2009","6","22","40","60","2","28","28","0","31","34.877192982","2.727272727","-37.55104126268936","143.83613841829927"
"Ballarat","2009","7","18","33","42","3","17","20","0","21","32.375000000","2.777777777","-37.570214122418506","143.8518842273951"
"Ballarat","2009","8","24","44","56","2","23","31","0","33","36.277777777","2.625000000","-37.55653888145884","143.83697925329548"
"Ballarat","2009","9","18","30","41","2","19","19","1","21","34.435897435","2.722222222","-37.55337515507687","143.8359500626159"
"Ballarat","2009","10","20","32","48","0","22","24","1","27","40.913043478","2.650000000","-37.55615105071034","143.8348015613994"
"Ballarat","2009","11","23","41","47","3","18","25","0","28","31.977777777","2.826086956","-37.56291753065061","143.85270968394093"
"Ballarat","2009","12","17","28","37","2","17","17","0","20","33.500000000","2.823529411","-37.567542535568805","143.85244229556298"
"Ballarat","2010","1","18","32","51","1","23","26","0","32","35.880000000","2.888888888","-37.54726232562335","143.82817780434416"
"Ballarat","2010","2","15","25","32","1","17","13","0","20","42.774193548","2.733333333","-37.55664781794276","143.84005512575052"
"Ballarat","2010","3","30","51","64","4","26","32","0","39","33.033333333","2.866666666","-37.566886573978","143.83553044459276"
"Ballarat","2010","4","15","28","39","3","15","22","0","26","30.871794871","2.733333333","-37.56646534096197","143.83683076337735"
"Ballarat","2010","5","19","34","48","4","23","17","0","26","28.333333333","2.894736842","-37.574334340971625","143.8536477305745"
"Ballarat","2010","6","27","47","64","3","28","30","0","35","35.533333333","2.666666666","-37.5616775628441","143.8422452625007"
"Ballarat","2010","7","19","33","43","1","18","20","1","26","32.600000000","2.736842105","-37.55947593651329","143.85453339231924"
"Ballarat","2010","8","14","22","30","2","10","16","1","15","37.142857142","2.785714285","-37.56058776508775","143.8437699341036"
"Ballarat","2010","9","21","40","66","1","38","24","1","27","34.265625000","2.666666666","-37.55390324368853","143.83360230878904"
"Ballarat","2010","10","24","42","69","1","38","29","1","42","32.865671641","2.708333333","-37.56629516618848","143.85218780022927"
"Ballarat","2010","11","18","31","49","1","29","16","0","30","34.702127659","2.722222222","-37.56342628352641","143.83939993861267"
"Ballarat","2010","12","18","36","49","1","22","25","1","26","32.604166666","2.444444444","-37.555379779173975","143.8538378500229"
"Ballarat","2011","1","13","24","45","2","22","19","0","23","32.666666666","2.692307692","-37.56380767145182","143.83414214764235"
"Ballarat","2011","2","17","35","43","1","19","23","1","23","37.761904761","2.764705882","-37.55797507809969","143.84737131667913"
"Ballarat","2011","3","21","33","42","1","16","25","1","28","35.047619047","2.714285714","-37.57722758121419","143.8397345345355"
"Ballarat","2011","4","30","55","95","1","43","45","0","46","34.461538461","2.733333333","-37.565423350042614","143.84669853914207"
"Ballarat","2011","5","21","37","51","1","25","24","0","26","32.680000000","2.761904761","-37.54666016184335","143.8379184077803"
"Ballarat","2011","6","28","49","68","1","21","44","0","34","36.567164179","2.785714285","-37.54857551998173","143.83326853298738"
"Ballarat","2011","7","19","36","47","4","22","23","0","23","32.565217391","2.842105263","-37.55002411037365","143.84971785264506"
"Ballarat","2011","8","13","25","40","4","21","17","1","16","29.307692307","2.769230769","-37.564754870292425","143.84559501791585"
"Ballarat","2011","9","16","29","39","4","21","16","0","17","38.289473684","3.000000000","-37.560241275486206","143.85123059240576"
"Ballarat","2011","10","21","41","49","3","20","27","0","28","39.714285714","2.666666666","-37.55649882716924","143.83608962448747"
"Ballarat","2011","11","22","37","57","2","25","28","0","34","28.890909090","2.500000000","-37.542353933859005","143.82097861872566"
